registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
registry.redhat.io,openshift4/ose-local-storage-diskmaker,4.6.0,sha256:d7620fddea7dbe7b873b78588defb37fbb4d03b3bfce443ff92d32a3629f2b65,IMAGE,linux,amd64,"",0,CASE,"",""
registry.redhat.io,openshift4/ose-local-storage-operator,4.6.0,sha256:f539d2460d4ade90a2d0898edecc358386c23e41d214ba896c425d390201000e,IMAGE,linux,amd64,"",0,CASE,"",""
registry.redhat.io,openshift4/ose-local-storage-static-provisioner,4.6.0,sha256:f157aa7397b14240b963cc21d512ab2e67b5c6cbdf229b4b6a72cc2148b02255,IMAGE,linux,amd64,"",0,CASE,"",""
