registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
quay.io,mongodb/mongodb-kubernetes-operator,0.7.0,sha256:e19ae43539521f0350fb71684757dc535fc989deb75f3789cd84b782489eda80,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,mongodb/mongodb-agent,11.0.5.6963-1,sha256:a6b316e6df0fee2c3d64cb065260e33586330784dcaab02cc7a3052cde3c94b9,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,mongodb/mongodb-kubernetes-operator-version-upgrade-post-start-hook,1.0.2,sha256:da347eb74525715a670280545e78ecee1195ec2630037b3821591c87f7a314ee,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,mongodb/mongodb-kubernetes-readinessprobe,1.0.4,sha256:bf5a4ffc8d2d257d6d9eb45d3e521f30b2e049a9b60ddc8e4865448e035502ca,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,ibmmas/mongo,4.2.6,sha256:8c48baa1571469d7f5ae6d603b92b8027ada5eb39826c009cb33a13b46864908,IMAGE,linux,amd64,"",0,CASE,"",""
