registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
quay.io,opencloudio/common-service-operator,v8.4,sha256:7d0437113b5467a17b88c1a0e6dafbc67cfd716c63a00662a72651231dc636e1,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,opencloudio/ibm-common-service-operator-bundle,3.11.0,sha256:7c27f49814a3ca5d854a0020a9c26ec817b3f0bd8a8f2e88521f0be30e82979e,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
quay.io,opencloudio/ibm-namespace-scope-operator-bundle,3.11.0,sha256:720d78219451c91c50cff3f4bee9db89cf72ce7a64c151e8eee070d2d9944a5c,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
quay.io,opencloudio/ibm-namespace-scope-operator,3.11.0,sha256:3bff30974f445f839a109c22feaf295045239e503a8fe3ebd16115a4e9ada81e,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
quay.io,opencloudio/operand-deployment-lifecycle-manager-bundle,3.11.0,sha256:226fe06addc5b6ee04a689692fd4425305cd4d9fe907f28032cb164c1e07324a,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
