registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
quay.io,jetstack/cert-manager-cainjector,v1.2.0,sha256:60e0b1078ce11530e7b1f6bddeb1f84d1636124423e4af49425f0ed7a5fa7f4f,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,jetstack/cert-manager-controller,v1.2.0,sha256:5af3fd8cbc155d82b8c097cae843e8ef92188385f9b1ef02b68b53ff365c6b8d,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,jetstack/cert-manager-webhook,v1.2.0,sha256:788490041ebf66a375f0786028a2371f4e84f5e207dcec12c1e0964f9d5da302,IMAGE,linux,amd64,"",0,CASE,"",""
