registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
quay.io,openshift-release-dev/ocp-v4.0-art-dev,v4.6.0-op,sha256:cb08e199582bbc08291aadae4d10a2ef765d10a49ac250eb4b47306ddd08ab06,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,openshift-release-dev/ocp-v4.0-art-dev,v4.6.0-debug,sha256:76509e74d55d0b4d0ade1dc00b987befee6d56d9f5da7f1b0eef9271c00a6c30,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,openshift-release-dev/ocp-v4.0-art-dev,v4.6.0-opextract,sha256:eb4661d734375e3d705b9e0fe3c3a1cb4a058ce3631f3f23d61cc862f61e9464,IMAGE,linux,amd64,"",0,CASE,"",""
